Brand,Caffeine,Sugar,Calories,Price,VitaminB12,Category
Red Bull (8.4oz),80,27,110,2.50,80,Normal
Monster Energy,160,54,210,2.60,100,Normal
Rockstar Original,160,63,260,2.25,100,Normal
Celsius Live Fit,200,0,10,2.10,250,Sugar-Free
Ghost Energy,200,0,5,2.80,100,Sugar-Free
Reign Total Body Fuel,300,0,10,2.50,250,Sugar-Free
Bang Energy,300,0,10,2.50,50,Sugar-Free
NOS Energy,160,54,210,2.40,100,Normal
Full Throttle,160,58,220,2.40,100,Normal
5-Hour Energy,200,0,4,3.50,500,Sugar-Free
Red Bull Zero,80,0,10,2.50,80,Sugar-Free
Monster Ultra,150,0,10,2.60,100,Sugar-Free
Mountain Dew Rise,180,0,25,2.20,100,Sugar-Free
C4 Performance,200,0,10,2.75,250,Sugar-Free
Rockstar Pure Zero,160,0,10,2.25,100,Sugar-Free
Amp Energy,142,58,220,2.10,100,Normal
Starbucks Baya,160,22,90,3.25,100,Normal
Rowdy Energy,160,18,90,2.70,100,Normal
Alani Nu,200,0,10,2.60,250,Sugar-Free
Red Bull Dragon Fruit,80,26,110,2.50,80,Normal
